Trial,Event Type,Time,start_TR,end_TR,total_TR,Duration,Title,Type,NMov,subject,session,task,run
7,Video,5188361,120,135,190,15,M18removerD.avi,M,18,5,2,3,1
8,Video,5927934,138,147,190,9,S22shirtD.avi,S,22,5,2,3,1
9,Video,6421011,150,168,190,18,M19sandwichD.avi,M,19,5,2,3,1
10,Video,7283875,171,190,190,19,M22shirtD.avi,M,22,5,2,3,1
1,Video,493827,5,20,160,15,S21toastD.avi,S,21,2,1,2,2
2,Video,1233482,23,38,160,15,S15juiceD.avi,S,15,2,1,2,2
3,Video,1973055,41,56,160,15,M21toastD.avi,M,21,2,1,2,2
4,Video,2712711,59,70,160,11,S14nailD.avi,S,14,2,1,2,2
5,Video,3287952,73,88,160,15,M15juiceD.avi,M,15,2,1,2,2
6,Video,4027525,91,101,160,10,S12letterD.avi,S,12,2,1,2,2
7,Video,4561725,104,115,160,11,M14nailD.avi,M,14,2,1,2,2
8,Video,5136967,118,128,160,10,S17pillowD.avi,S,17,2,1,2,2
9,Video,5671167,131,141,160,10,M12letterD.avi,M,12,2,1,2,2
10,Video,6205284,144,160,160,16,M17pillowD.avi,M,17,2,1,2,2
1,Video,454621,4,19,165,15,S21toastD.avi,S,21,14,1,2,2
2,Video,1194194,22,37,165,15,S15juiceD.avi,S,15,14,1,2,2
3,Video,1933766,40,55,165,15,M21toastD.avi,M,21,14,1,2,2
4,Video,2673423,58,69,165,11,S14nailD.avi,S,14,14,1,2,2
5,Video,3248664,72,87,165,15,M15juiceD.avi,M,15,14,1,2,2
6,Video,3988321,90,100,165,10,S12letterD.avi,S,12,14,1,2,2
7,Video,4522438,103,114,165,11,M14nailD.avi,M,14,14,1,2,2
8,Video,5097680,117,127,165,10,S17pillowD.avi,S,17,14,1,2,2
9,Video,5631881,130,140,165,10,M12letterD.avi,M,12,14,1,2,2
10,Video,6166081,143,165,165,22,M17pillowD.avi,M,17,14,1,2,2
1,Video,451452,4,13,195,9,S22shirtD.avi,S,22,14,2,3,2
2,Video,944529,16,31,195,15,S18removerD.avi,S,18,14,2,3,2
3,Video,1684103,34,43,195,9,M22shirtD.avi,M,22,14,2,3,2
4,Video,2177180,46,66,195,20,S16pencilD.avi,S,16,14,2,3,2
5,Video,3122293,69,84,195,15,M18removerD.avi,M,18,14,2,3,2
6,Video,3861867,87,99,195,12,S13lightD.avi,S,13,14,2,3,2
7,Video,4478234,102,122,195,20,M16pencilD.avi,M,16,14,2,3,2
8,Video,5423263,125,143,195,18,S19sandwichD.avi,S,19,14,2,3,2
9,Video,6286127,146,158,195,12,M13lightD.avi,M,13,14,2,3,2
10,Video,6902495,161,195,195,34,M19sandwichD.avi,M,19,14,2,3,2
1,Video,496664,5,17,195,12,S13lightD.avi,S,13,14,2,3,1
2,Video,1112948,20,40,195,20,S16pencilD.avi,S,16,14,2,3,1
3,Video,2058061,43,55,195,12,M13lightD.avi,M,13,14,2,3,1
4,Video,2674345,58,73,195,15,S18removerD.avi,S,18,14,2,3,1
5,Video,3414002,76,96,195,20,M16pencilD.avi,M,16,14,2,3,1
6,Video,4359031,99,117,195,18,S19sandwichD.avi,S,19,14,2,3,1
7,Video,5221979,120,135,195,15,M18removerD.avi,M,18,14,2,3,1
8,Video,5961553,138,147,195,9,S22shirtD.avi,S,22,14,2,3,1
9,Video,6454630,150,168,195,18,M19sandwichD.avi,M,19,14,2,3,1
10,Video,7317494,171,195,195,24,M22shirtD.avi,M,22,14,2,3,1
1,Video,434685,4,24,150,20,S5cardD.avi,S,5,14,2,4,2
2,Video,1379715,27,43,150,16,S4buttonD.avi,S,4,14,2,4,2
3,Video,2160413,46,66,150,20,M5cardD.avi,M,5,14,2,4,2
4,Video,3105526,69,91,150,22,S2boatD.avi,S,2,14,2,4,2
5,Video,4132721,94,110,150,16,M4buttonD.avi,M,4,14,2,4,2
6,Video,4913503,113,150,150,37,M2boatD.avi,M,2,14,2,4,2
1,Video,560912,6,18,225,12,S1ballonD.avi,S,1,6,1,1,1
2,Video,1177248,21,40,225,19,S3breakfastD.avi,S,3,6,1,1,1
3,Video,2081208,43,55,225,12,M1ballonD.avi,M,1,6,1,1,1
4,Video,2697544,58,75,225,17,S6cigaretteD.avi,S,6,6,1,1,1
5,Video,3519326,78,97,225,19,M3breakfastD.avi,M,3,6,1,1,1
6,Video,4423286,100,119,225,19,S7flowersD.avi,S,7,6,1,1,1
7,Video,5327329,122,139,225,17,M6cigaretteD.avi,M,6,6,1,1,1
8,Video,6149111,142,169,225,27,S8frameD.avi,S,8,6,1,1,1
9,Video,7381784,172,191,225,19,M7flowersD.avi,M,7,6,1,1,1
10,Video,8285744,194,225,225,31,M8frameD.avi,M,8,6,1,1,1
1,Video,493736,5,20,160,15,S21toastD.avi,S,21,6,1,2,2
2,Video,1233339,23,38,160,15,S15juiceD.avi,S,15,6,1,2,2
3,Video,1972943,41,56,160,15,M21toastD.avi,M,21,6,1,2,2
4,Video,2712546,59,70,160,11,S14nailD.avi,S,14,6,1,2,2
5,Video,3287877,73,88,160,15,M15juiceD.avi,M,15,6,1,2,2
6,Video,4027480,91,101,160,10,S12letterD.avi,S,12,6,1,2,2
7,Video,4561639,104,115,160,11,M14nailD.avi,M,14,6,1,2,2
8,Video,5136886,118,128,160,10,S17pillowD.avi,S,17,6,1,2,2
9,Video,5671044,131,141,160,10,M12letterD.avi,M,12,6,1,2,2
10,Video,6205202,144,160,160,16,M17pillowD.avi,M,17,6,1,2,2
1,Video,503404,5,15,165,10,S12letterD.avi,S,12,6,1,2,1
2,Video,1037562,18,29,165,11,S14nailD.avi,S,14,6,1,2,1
3,Video,1612809,32,42,165,10,M12letterD.avi,M,12,6,1,2,1
4,Video,2146967,45,60,165,15,S15juiceD.avi,S,15,6,1,2,1
5,Video,2886571,63,74,165,11,M14nailD.avi,M,14,6,1,2,1
6,Video,3461818,77,87,165,10,S17pillowD.avi,S,17,6,1,2,1
7,Video,3995976,90,105,165,15,M15juiceD.avi,M,15,6,1,2,1
8,Video,4735579,108,123,165,15,S21toastD.avi,S,21,6,1,2,1
9,Video,5475267,126,136,165,10,M17pillowD.avi,M,17,6,1,2,1
10,Video,6009425,139,165,165,26,M21toastD.avi,M,21,6,1,2,1
