"","filename","sub","run","ses","task","name","Duration","nTR","Code","muvi_start_volume","muvi_end_volume"
"49","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","M19sandwichD.avi","770020",19,"Action9",151,168
"50","S02_session2_set3_run1-Set3_run1.log","S02","1","2","3","M22shirtD.avi","380046",9,"Action10",172,179
"51","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","S22shirtD.avi","380047",9,"Action1",6,13
"52","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","S18removerD.avi","640056",16,"Action2",18,32
"53","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","M22shirtD.avi","380046",9,"Action3",36,43
"54","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","S16pencilD.avi","830080",20,"Action4",48,66
"55","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","M18removerD.avi","640056",16,"Action5",71,85
"56","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","S13lightD.avi","500083",12,"Action6",89,99
"57","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","M16pencilD.avi","830079",20,"Action7",104,122
"58","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","S19sandwichD.avi","760009",19,"Action8",127,144
"59","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","M13lightD.avi","510010",12,"Action9",148,158
"60","S02_session2_set3_run2-Set3_run2.log","S02","2","2","3","M19sandwichD.avi","770019",19,"Action10",163,180
"61","S02_session2_set4_run1-Set4_run1.log","S02","1","2","4","S2boatD.avi","940023",23,"Action1",6,27
"62","S02_session2_set4_run1-Set4_run1.log","S02","1","2","4","S4buttonD.avi","660076",16,"Action2",31,45
"63","S02_session2_set4_run1-Set4_run1.log","S02","1","2","4","M2boatD.avi","940023",23,"Action3",50,71
"64","S02_session2_set4_run1-Set4_run1.log","S02","1","2","4","S5cardD.avi","829996",20,"Action4",75,93
"65","S02_session2_set4_run1-Set4_run1.log","S02","1","2","4","M4buttonD.avi","659993",16,"Action5",98,112
"66","S02_session2_set4_run1-Set4_run1.log","S02","1","2","4","M5cardD.avi","829996",20,"Action6",117,135
"67","S02_session2_set4_run2-Set4_run2.log","S02","2","2","4","S5cardD.avi","830080",20,"Action1",6,24
"68","S02_session2_set4_run2-Set4_run2.log","S02","2","2","4","S4buttonD.avi","659993",16,"Action2",29,43
"69","S02_session2_set4_run2-Set4_run2.log","S02","2","2","4","M5cardD.avi","829996",20,"Action3",48,66
"70","S02_session2_set4_run2-Set4_run2.log","S02","2","2","4","S2boatD.avi","940023",23,"Action4",71,92
"71","S02_session2_set4_run2-Set4_run2.log","S02","2","2","4","M4buttonD.avi","659993",16,"Action5",96,110
"72","S02_session2_set4_run2-Set4_run2.log","S02","2","2","4","M2boatD.avi","940023",23,"Action6",115,136
"73","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","S1ballonD.avi","500000",12,"Action1",6,16
"74","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","S3breakfastD.avi","790040",19,"Action2",21,38
"75","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","M1ballonD.avi","510010",12,"Action3",43,53
"76","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","S6cigaretteD.avi","720053",18,"Action4",58,74
"77","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","M3breakfastD.avi","790039",19,"Action5",78,95
"78","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","S7flowersD.avi","819986",20,"Action6",100,118
"79","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","M6cigaretteD.avi","719969",18,"Action7",122,138
"80","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","S8frameD.avi","1120036",27,"Action8",142,167
"81","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","M7flowersD.avi","809976",20,"Action9",172,190
"82","S03_session1_set1_run1-Set1_run1.log","S03","1","1","1","M8frameD.avi","1119952",27,"Action10",194,219
"83","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","S8frameD.avi","1120036",27,"Action1",6,31
"84","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","S6cigaretteD.avi","719969",18,"Action2",36,52
"85","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","M8frameD.avi","1120036",27,"Action3",56,81
"86","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","S3breakfastD.avi","790039",19,"Action4",86,103
"87","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","M6cigaretteD.avi","719969",18,"Action5",108,124
"88","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","S1ballonD.avi","500083",12,"Action6",128,138
"89","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","M3breakfastD.avi","790039",19,"Action7",143,160
"90","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","S7flowersD.avi","819986",20,"Action8",165,183
"91","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","M1ballonD.avi","510010",12,"Action9",187,197
"92","S03_session1_set1_run2-Set1_run2.log","S03","2","1","1","M7flowersD.avi","809976",20,"Action10",202,220
"93","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","S12letterD.avi","420003",10,"Action1",6,14
"94","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","S14nailD.avi","489990",12,"Action2",19,29
"95","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","M12letterD.avi","420003",10,"Action3",33,41
"96","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","S15juiceD.avi","620036",15,"Action4",46,59
"97","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","M14nailD.avi","489990",12,"Action5",64,74
"98","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","S17pillowD.avi","440023",11,"Action6",78,87
"99","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","M15juiceD.avi","619953",15,"Action7",91,104
"100","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","S21toastD.avi","650066",16,"Action8",109,123
"101","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","M17pillowD.avi","440023",11,"Action9",127,136
"102","S03_session1_set2_run1-Set2_run1.log","S03","1","1","2","M21toastD.avi","650066",16,"Action10",140,154
"103","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","S21toastD.avi","649983",16,"Action1",6,20
"104","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","S15juiceD.avi","619953",15,"Action2",24,37
"105","S03_session1_set2_run2-Set2_run2.log","S03","2","1","2","M21toastD.avi","649983",16,"Action3",42,56
